,regno,page,word,x,y,w,h,conf
0,0003,1,Addressing ,161,938,180,78,0.9900000095367432
1,0003,1,modes ,384,935,113,78,0.9900000095367432
2,0003,1,are ,559,933,55,77,0.9900000095367432
3,0003,1,of ,692,931,43,77,0.9800000190734863
4,0003,1,to ,780,930,29,77,0.5799999833106995
5,0003,1,ten ,851,929,55,77,0.8500000238418579
6,0003,1,types ,929,928,90,77,0.8700000047683716
7,0003,1,Aulo ,196,1106,79,62,0.9800000190734863
8,0003,1,decument ,303,1106,190,62,0.800000011920929
9,0003,1,mode ,508,1106,105,62,0.800000011920929
10,0003,1,Aulo ,193,1198,79,59,0.9599999785423279
11,0003,1,minorent ,313,1196,186,59,0.550000011920929
12,0003,1,mode ,525,1192,97,59,0.8999999761581421
13,0003,1,Index ,208,1289,102,65,0.9399999976158142
14,0003,1,mode ,367,1289,101,65,0.800000011920929
15,0003,1,Register ,225,1369,125,81,0.949999988079071
16,0003,1,mode ,377,1365,95,80,0.9200000166893005
17,0003,1,Libermidiale ,221,1456,213,77,0.6299999952316284
18,0003,1,mode ,462,1446,109,77,0.9300000071525574
19,0003,1,Addressing ,241,1536,185,87,0.9300000071525574
20,0003,1,mode ,430,1536,104,87,0.8899999856948853
21,0003,1,Adoboussing ,1101,1824,177,100,0.7900000214576721
22,0003,1,made ,1321,1816,101,99,0.8299999833106995
23,0003,1,and ,1501,1809,71,99,0.9200000166893005
24,0003,1,that ,1621,1803,105,100,0.9599999785423279
25,0003,1,rebbers ,1861,1794,131,99,0.8999999761581421
26,0003,1,Address ,2096,1784,161,100,0.9200000166893005
27,0003,1,of ,2296,1776,55,100,0.9700000286102295
28,0003,1,Register ,162,1862,137,100,0.9900000095367432
29,0003,1,mode,322,1856,87,99,0.9900000095367432
30,0003,1,: ,416,1852,29,99,0.8700000047683716
31,0003,1,It ,472,1850,37,99,0.7099999785423279
32,0003,1,is ,548,1846,55,100,0.949999988079071
33,0003,1,an ,678,1841,55,99,0.9200000166893005
34,0003,1,important ,797,1836,195,100,0.9900000095367432
35,0003,1,bo ,213,2000,20,69,0.23000000417232513
36,0003,1,Small ,271,1999,105,70,0.6700000166893005
37,0003,1,dalu ,408,1996,73,70,0.7599999904632568
38,0003,1,inilo,563,1993,51,70,0.7099999785423279
39,0003,1,. ,612,1993,20,69,0.8799999952316284
40,0003,1,memory ,633,1992,166,70,0.800000011920929
41,0003,1,part ,1759,2292,45,59,0.9900000095367432
42,0003,1,of ,1880,2284,22,58,1.0
43,0003,1,the ,2039,2272,42,58,1.0
44,0003,1,processing ,2155,2263,167,58,0.9599999785423279
45,0003,1,is ,1509,2311,22,58,0.9700000286102295
46,0003,1,a ,1571,2306,16,58,0.9900000095367432
47,0003,1,Register ,1292,2327,104,59,0.9800000190734863
48,0003,1,and ,850,2360,42,58,0.9700000286102295
49,0003,1,the ,942,2353,50,59,0.9900000095367432
50,0003,1,Instruction ,1063,2344,158,59,0.9700000286102295
51,0003,1,Counter ,610,2378,112,58,0.8700000047683716
52,0003,1,the ,209,2408,42,58,0.9900000095367432
53,0003,1,programs ,370,2395,139,60,0.949999988079071
54,0003,1,the ,182,2565,69,69,0.8199999928474426
55,0003,1,there ,367,2565,72,69,0.8299999833106995
56,0003,1,are ,514,2565,49,69,0.9700000286102295
57,0003,1,I ,520,2703,16,58,0.5400000214576721
58,0003,1,Memary ,554,2704,143,59,0.9100000262260437
59,0003,1,here ,1406,2825,52,65,0.9800000190734863
60,0003,1,I ,251,2905,16,58,0.6600000262260437
61,0003,1,MORI ,277,2904,127,59,0.8700000047683716
62,0003,1,MDR ,1600,2819,91,81,0.9800000190734863
63,0003,1,Memory ,1808,2812,122,82,0.8999999761581421
64,0003,1,Datan ,1975,2807,99,82,0.8199999928474426
65,0003,1,registy ,2122,2803,124,82,0.8399999737739563
66,0003,1,MAR ,1615,2910,84,83,0.9900000095367432
